,No.,Title,Author,Size,Year,Category,Description
733,2204,Elmwood Cemetery., ,"8.5""x9.75""",1915,Cemeteries," Map of
  cemetery grounds showing pathways, lakes, numbered and lettered sections,
  adjacent streets, entrances, and structures."
734,2205,Graceland Cemetery., ,"8""x9""",[1974],Cemeteries," Map
  showing Graceland Cemetery marking paths and sections. Circles numbers mark
  graves of famous persons, with legend on reverse side."
735,2206,Plan of Rosehill Cemetery & Grounds., ,"11""x11""",1913,Cemeteries," Map
  showing plots and pathways in Rosehill Cemetery. Also marks lakes,
  mausoleums, residences, and adjacent roads."
736,3201,Bohemian National Cemetery, ,"8.5""x11""",n.d.,Cemeteries," Map
  showing all pathways, plots, and sections of cemetery, as well as adjacent
  streets.  Points of interest numbered,
  with guide in reverse side."
737,no number,"[Plat map, Calumet to Prairie Ave, S. of 18th]", ,"17""x19""",n.d.,Fort Dearborn," Hand-drawn
  map showing lots and properties Calumet Ave and Prairie Ave, south of 18th.
  Includes dimensions of lots, names of property owners."
738,no number,[Map of properties along Chicago Pacific R.R.], ,"In plastic sleeve.
  13.25""x7""",n.d.,Fort Dearborn," Map
  shows numbered lots with dimensions on properties near Chicago and Pacific
  R.R. between Leyden and Grande, W to School and E to Webster. Notable nearby
  buildings, including homes, Orison depot, hotel, and school, represented
  pictorally. Also notes Des Plaines River. 
  Some properties shaded blue."
739,1055,Beaubien addition to Chicago.,"Talcott, Edward B.","In plastic sleeve.
  12.5""x37.75""",1835,Fort Dearborn," Map
  showing mouth of Chicago River and division of streets and lots in Beaubien's
  addition on former site of Ft. Dearborn. Certification and information on map
  handwritten in bottom half. Scale:
  1"" = 100 ft"
740,1056,"Part of plat of Fort Dearborn addition, shewing
  public ground", ,"8.5""x11.25""",1839,Fort Dearborn," Plat
  map showing streets and land plots with numbers and measurements south of
  river mouth, W to Wabash, S to Adams. From:
  F38NA.B6"
741,1057,"Town of Chicago showing the addition to the same
  of locate of Ft. Dearborn. (tracing)","Davis, George B.","15""x24""",1839,Fort Dearborn," Map of
  Chicago showing plan for numbered streets and land plots. Dimensions of
  streets and buildings in red. Also marks width and course of Chicago River.
  Includes land set aside for public ground. N to Chicago River, W to State, S
  to Madison, E to Lakeshore. Certification
  from Recorder's Office in bottom left. ""From
  the Archives of the Bureau of Topographical Engineers."""
742,1058,Fort Dearborn Addition to Chicago.,"Bradley, Asa","In plastic sleeve.
  24.5""x34""",1839,Fort Dearborn," Map of
  Chicago showing plan for streets and numbered land plots. Includes dimensions
  for streets and plots.  Also marks
  width and course of Chicago River. N to Chicago River, W to State, S to
  Madison, E to Lakeshore. Description
  of Ft. Dearborn Addition by Asa Bradley, City & County Surveyor, at
  right. Certification by notary public attached in upper left. Scale:
  1"" = 100 ft"
743,1060,"Town of Chicago showing the addition to the same
  of the locate of Ft. Dearborn. (stat of #1057)","Davis, George B.","In plastic sleeve with 1061,
  1062.",1839,Fort Dearborn," 24""x15.5"" Map of
  Chicago showing plan for numbered streets and land plots. Dimensions of
  streets and buildings in red. Also marks width and course of Chicago River.
  Includes land set aside for public ground. N to Chicago River, W to State, S
  to Madison, E to Lakeshore. From:
  National Archives, 1/1953."
744,1061,"Fort Dearborn Addition to Chicago. (stat from
  Natl. Archives)", ,"In plastic sleeve with 1060,
  1062.",1839,Fort Dearborn," Photo-negative
  copy showing streets and land plots with measurements between South Water and
  Chicago River. Also marks piers, width and direction of Chicago River.
  Description of Ft. Dearborn addition and seal of County Clerk in margins. From:
  National Archives, 1/1953."
745,1062,"Part of fractional sec. 10 in the city of
  Chicago. (2 copies)","Gamble, Wm.","In plastic sleeve with 1060,
  1061.",1850,Fort Dearborn," Photo-negative
  copy showing mouth of Chicago River, including streets, docks and slips, land
  plots with dimensions. Marks former site of Ft. Dearborn, line of U.S.
  Reservation, and line of proposed excavation. Also marks north and south
  piers and changes in Lake Michigan shoreline over time. Information on
  bottom. Certification at bottom right. Copy of certification from U.S.
  Department of the Interior attached. Scale:
  1""= 100 ft From:
  National Archives, 1/1953."
746,1063,"Map of area bounded by Jackson St., Van Buren
  St. and Clark St., Chicago.", ,"In plastic sleeve.
  4.75""x7.75""",n.d.,Fort Dearborn," Hand-drawn
  plat map showing streets, lots, and properties. Numbers lots and marks
  property owners. Gives dimensions. N to Jackson, W to Clark, S to Van Buren,
  E to Fourth."
747,1065,"Jones Subdivision of block 133 in School
  Section.","Bradley, Asa","13.5""x16.5""",1849,Fort Dearborn," Map of
  land plots with numbers and measurements, between State and Edina. Notes by
  surveyor, proprietor, and county secretary at bottom."
748,1066,Map of Downtown Chicago.,Satterlee,"In plastic sleeve.
  7.75""x13""",1836,Fort Dearborn," Hand-drawn
  map showing streets, subdivisions, lots, and properties with owners south of
  river mouth, east of State Street, south to Madison. Gift:
  Mrs. Seneca D. Kimbark 12/1914"
749,1067,"Johnston and Lees Subdivision of SW 1/4 Section
  20 39.14.",Johnston and Lee,"In plastic sleeve.
  9""x11""",n.d.,Fort Dearborn," Hand-drawn
  map showing streets, numbered lots, and properties with owner names. S to
  22nd, W to Ashland, N to 16th, E to Centre."
750,1068,"Ashland Ave. to Centre Ave. and 22nd St. to 16th
  St.", ,"In plastic sleeve.
  15""x9.5""",n.d.,Fort Dearborn," Hand-drawn
  map showing streets, numbered lots, and properties with owner names. S to
  22nd, W to Ashland, N to 16th, E to Centre. Inserts at right show
  intersections of Wright & Newberry, 16th & Johnson, and Morgan &
  Maxwell."
751,1069,"Fort Dearborn. (2 parts, 2 copies each)","Whistler, Capt. J.","Copy 1: Each page
  8""x10""",1808,Fort Dearborn," Copy 2:
  Each page 8""x13"" Page 1:
  Drawings of Ft. Dearborn elevations on four sides, marking barracks,
  hospital, gates, magazine, and contractors store. Page 2:
  Plan of Ft. Dearborn marking outer pickets, walls, buildings, flag staff, and
  well. Based on
  plan drawn by Capt. J. Whistler."
752,1070,"Mr. Scharfs explanation of the location of Fort
  Dearborn as it appeared in 1864.",Scharf.,"12""x9.5""",1864,Fort Dearborn," Diagram
  showing plan of Ft. Dearborn in 1864. Marks officer's quarters, small
  cottages block house, and lighthouse."
753,1071,"Sketch of Lieut. Swearingens line of march from
  Detroit to Chikago.","Dremans, D.O.","8""x10""",1803,Fort Dearborn," Hand-drawn
  map of southern Michigan and northeast Illinois showing route of travel from
  Detroit to Chicago, noting rivers, towns, forts. Gift:
  Mrs. Thatcher Hoyt 10/63"
754,1072,Section of Map of Chicago.,"Hathaway, Joshua Jr.","6.5""x8.5""",1834,Fort Dearborn," Reproduction
  showing map of Ft. Dearborn, lighthouse, line of south pier, and numbered
  lots apportioned along north bank of river. 
  Section of map compiled from original surveys filed by clerk's office
  of Cook County."
755,1073,Second Fort Dearborn. (2 part blueprint), ,"Part 1: 18.5""x14.5""",1815,Fort Dearborn," Map
  showing central Chicago area at mouth of river.  Shows sites of original buildings,
  including Ft. Dearborn Part 2:
  9.75""x16"" Blueprint
  map showing grounds of second Ft. Dearborn."
756,1074,Fort Dearborn.,"Webster, J.D.","13.25""x18.25""",1852,Fort Dearborn," Map
  of Ft. Dearborn site showing present-day streets, Line of Ft. Dearborn
  reservation and locations of original buildings. Purple lines mark original
  boundaries of Chicago River, proposed excavation lines at Ft. Dearborn with
  measurements. N to Kinzie, S to South Water, E to Lake Michigan (1849
  shoreline), W to Rush St. Scale:
  1"" = 100 ft"
757,1075,Fort Dearborn., ,"13.5""x14""",n.d.,Fort Dearborn," Topographic
  map of Chicago area. Marks rivers, streams, canals.  Dotted line marks city boundaries. Also
  points to Ft. Dearborn."
758,1076,"Fort Dearborn, U.S. Military Reservation and
  Vicinity.","Webster, J.D.","19""x19.5""",1852,Fort Dearborn," Map
  showing initial site and buildings in Ft. Dearborn. Proposed lines of
  excavation, with measurements, in purple. Boundaries of Chicago River from
  previous surveys in blue. 1849 Lake Michigan shorelines and streets in black.
  Also marks piers, hydraulic mill. N to Kinzie, W to Wabash, S to Lake, E to
  Lake Michigan. Scale:
  1"" = 100 ft"
759,2207,"The Site of Fort Dearborn as located by Dr.
  Lucius Zeuch and Robert Knight in their volume ""The Chicago
  Portage.""","Knight, Robert","11""x18""",1928,Fort Dearborn," Map
  showing site of Ft. Dearborn, including buildings, reservations, and original
  location of Chicago River and lakeshore in purple. Modern-day street grid
  overlaid in black. S to Washington, W to Dearborn, N to Austin."
760,2208,"Fort Dearborn. (corrected by H.A. Musham in
  1939)", ,"13.5""x9.25""",n.d.,Fort Dearborn," Drawing
  of Ft. Dearborn showing structures, pickets, flag, and surrounding hamlet. Prepared
  under direction of D.O. Drennan, Agent Chicago Historical society. Corrected
  by H.A. Musham, 8/2/39."
761,2209,Chicago in 1808. (2 copies),"Musham, H.A.","22.5""x30.75""",1934,Fort Dearborn," ""Chicago
  in 1808. Prepared from the official report of Captain John Whistler..."" Blueprint
  map of Fort Dearborn and surrounding grounds, including mouth of Chicago
  River, shore of Lake Michigan, sand bars, swamp and forest. Numbered key to
  settlement buildings at left. Lower
  left: Insert map showing 'the Forks' in Chicago River, 3/4 miles from the
  Lake."
762,308,Congressional District Map of Chicago, ,"17""x14""",1882,Political & Administrative," Map of
  Chicago showing streets, rivers and canals, railway lines. Congressional
  districts differentiated by color. Also notes districts' population and
  voting records. S to 43rd, W to Hamlin, N to Wellington. Notes on boundaries
  of Congressional district in right margin. On same
  sheet at Map #309"
